Model,ETS@5,ETS@15,CSI,MAE,MSE,PSNR,SSIM
ConvLSTM,0.408,0.18,0.252,0.245,2.638,25.75,0.798
EarthFormer,0.43,0.2,0.28,0.235,2.525,26.15,0.82
SimVP,0.45,0.22,0.31,0.218,2.3,26.525,0.832
SmaAt-UNet,0.428,0.192,0.262,0.248,2.465,26.35,0.835
VPTR,0.475,0.235,0.308,0.208,2.18,26.8,0.852
Ensemble,0.442,0.212,0.282,0.22,2.608,26.05,0.832
