model,horizon_min,MAE,MSE,RMSE,PSNR,SSIM,FSS1,FSS5,FSS9,FSS17,CSI@5,ETS@5,CSI@15,ETS@15,CSI_mean,ETS_mean
PySteps_Multimodal,15,0.2145345856217627,2.389491180869493,1.3135757828329473,41.2735291846255,0.9681843684074728,0.1605252420580065,0.3192920552717673,0.4161089056246989,0.5354192885192665,0.2946625372092775,0.2888903389601134,0.1244215439159184,0.1236992969670095,0.220194,0.21767699999999998
PySteps_Multimodal,30,0.2730765555925826,3.1485236778934587,1.5245862940841532,39.86634341706621,0.9559416406332178,0.0658654236923093,0.1398180966144022,0.2022395457910454,0.3059023929678875,0.188446891654683,0.1822878563962106,0.0515840360351956,0.050843787281563,0.126886,0.129014
PySteps_Multimodal,45,0.3075633961311046,3.530951983592612,1.6302443061103211,39.19494343818502,0.948320594873834,0.0350575729082989,0.0755527561069816,0.1145294622708392,0.1922744816990308,0.142352521640784,0.1359884972808719,0.0283779964543562,0.0276255538395212,0.109484,0.089243
PySteps_Multimodal,60,0.3310028261088945,3.737220330044944,1.679426151862804,38.906332229046114,0.9428901247521664,0.0249834595499811,0.0522520223179378,0.0788579412408777,0.1371466192039283,0.1151648524763035,0.1086950737330011,0.0216037344137297,0.0208405745836193,0.083847,0.060972
PySteps_Radar,15,0.1771291469600289,1.856341001062476,1.157912814078179,42.38972775479581,0.9756929826863268,0.2299099593706753,0.4261502361168032,0.5152934213047442,0.6033177291569503,0.3699602952958921,0.3646069084209906,0.189772149145802,0.1890812877636697,0.309697,0.28319900000000003
PySteps_Radar,30,0.23424884926607,2.6782563317646373,1.4027909891719514,40.62814636433378,0.9640775548016772,0.0928517654538154,0.1913363476810248,0.2671963413772376,0.3777373850993488,0.2396751145887088,0.2338662570926653,0.0758060685969072,0.075098574490285,0.179854,0.150248
PySteps_Radar,45,0.2677360057751549,3.078123042954409,1.521476908091535,39.81479400269529,0.9566552293427448,0.0442187186851295,0.0990908331768486,0.150208685667284,0.2439049873300778,0.1782336228099187,0.1722527298403026,0.0350802811893104,0.0343711694225833,0.137953,0.108327
PySteps_Radar,60,0.2893126490426824,3.264480676898297,1.5751318971210335,39.454124886938864,0.9514929962919112,0.0265288623603614,0.0574535118566976,0.0918097650682603,0.166604618446247,0.1419686795977801,0.1359478257934368,0.0232211434443963,0.0225115989628512,0.09482199999999999,0.08801300000000001
