Model,ETS@5,ETS@15,CSI,MAE,MSE,PSNR,SSIM
ConvLSTM,0.34,0.145,0.175,0.398,4.4,22.7,0.63
EarthFormer,0.388,0.185,0.21,0.32,3.438,23.7,0.71
SimVP,0.288,0.15,0.19,0.373,3.99,23.25,0.69
SmaAt-UNet,0.205,0.103,0.12,0.518,6.125,21.2,0.423
VPTR,0.385,0.213,0.253,0.28,2.98,24.25,0.753
Ensemble,0.325,0.16,0.18,0.37,4.155,22.925,0.638
